var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
10_INV_CODE,    Numeric,0,
10_BKVAL,    Numeric,0,
10_MKTVAL,    Numeric,0,
10_BKVALFORSALE,    Numeric,0,
10_MKTVALFORSALE,    Numeric,0,
15_INV_CODE,    Numeric,0,
15_BKVAL,    Numeric,0,
15_MKTVAL,    Numeric,0,
15_BKVALFORSALE,    Numeric,0,
15_MKTVALFORSALE,    Numeric,0,
17_INV_CODE,    Numeric,0,
17_BKVAL,    Numeric,0,
17_MKTVAL,    Numeric,0,
17_BKVALFORSALE,    Numeric,0,
17_MKTVALFORSALE,    Numeric,0,
25_INV_CODE,    Numeric,0,
25_BKVAL,    Numeric,0,
25_MKTVAL,    Numeric,0,
25_BKVALFORSALE,    Numeric,0,
25_MKTVALFORSALE,    Numeric,0,
29_INV_CODE,    Numeric,0,
29_BKVAL,    Numeric,0,
29_MKTVAL,    Numeric,0,
29_BKVALFORSALE,    Numeric,0,
29_MKTVALFORSALE,    Numeric,0,
35_INV_CODE,    Numeric,0,
35_BKVAL,    Numeric,0,
35_MKTVAL,    Numeric,0,
35_BKVALFORSALE,    Numeric,0,
35_MKTVALFORSALE,    Numeric,0,
40_INV_CODE,    Numeric,0,
40_BKVAL,    Numeric,0,
40_MKTVAL,    Numeric,0,
40_BKVALFORSALE,    Numeric,0,
40_MKTVALFORSALE,    Numeric,0,
41_INV_CODE,    Numeric,0,
41_BKVAL,    Numeric,0,
41_MKTVAL,    Numeric,0,
41_BKVALFORSALE,    Numeric,0,
41_MKTVALFORSALE,    Numeric,0,
50_INV_CODE,    Numeric,0,
50_BKVAL,    Numeric,0,
50_MKTVAL,    Numeric,0,
50_BKVALFORSALE,    Numeric,0,
50_MKTVALFORSALE,    Numeric,0,
51_INV_CODE,    Numeric,0,
51_BKVAL,    Numeric,0,
51_MKTVAL,    Numeric,0,
