var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
110_name,    Numeric,0,
110_SystemwideDebt,    Numeric,0,
110_OtherBankDebt,    Numeric,0,
110_TotalDebt,    Numeric,0,
120_name,    Numeric,0,
120_SystemwideDebt,    Numeric,0,
120_OtherBankDebt,    Numeric,0,
120_TotalDebt,    Numeric,0,
130_name,    Numeric,0,
130_SystemwideDebt,    Numeric,0,
130_OtherBankDebt,    Numeric,0,
130_TotalDebt,    Numeric,0,
140_name,    Numeric,0,
140_SystemwideDebt,    Numeric,0,
140_OtherBankDebt,    Numeric,0,
140_TotalDebt,    Numeric,0,
150_name,    Numeric,0,
150_SystemwideDebt,    Numeric,0,
150_OtherBankDebt,    Numeric,0,
150_TotalDebt,    Numeric,0,
160_name,    Numeric,0,
160_SystemwideDebt,    Numeric,0,
160_OtherBankDebt,    Numeric,0,
160_TotalDebt,    Numeric,0,
170_name,    Numeric,0,
170_SystemwideDebt,    Numeric,0,
170_OtherBankDebt,    Numeric,0,
170_TotalDebt,    Numeric,0,
180_name,    Numeric,0,
180_SystemwideDebt,    Numeric,0,
180_OtherBankDebt,    Numeric,0,
180_TotalDebt,    Numeric,0,
185_name,    Numeric,0,
185_SystemwideDebt,    Numeric,0,
185_OtherBankDebt,    Numeric,0,
185_TotalDebt,    Numeric,0,
190_name,    Numeric,0,
190_SystemwideDebt,    Numeric,0,
190_OtherBankDebt,    Numeric,0,
190_TotalDebt,    Numeric,0,
