var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
AvgDailyBankInv35Pct30Day,    Numeric,0,
AvgDailyBankTotLoans,    Numeric,0,
BankInvPctOfTotLoans,    Numeric,0,
BankLrgstObligor,    Numeric,0,
BankLrgstObligorPctOfTotRegCap,    Numeric,0,
TotInvestmentsRegLimit,    Numeric,0,
BankLrgstConcnAssetCls,    Numeric,0,
BankLrgstConcnAssetClsPctOfTotInv,    Numeric,0,
BankMBSByGSE,    Numeric,0,
BankMBSByGSEPctOfTotInv,    Numeric,0,
AssocInv10Pct,    Numeric,0,
AssocLoans10Pct,    Numeric,0,
AvgDailyAssocTotLoans,    Numeric,0,
AssocInvPctOfTotLoans,    Numeric,0,
BankPledgedSecurities,    Numeric,0,
BankSecsLiquidityRsrvBuffer,    Numeric,0,
BankSecsRemvdLiquidityRsrvBuffer,    Numeric,0,
BankSecsRemvdLiquidityBuffer,    Numeric,0,
BankSecuritiesHeldOther,    Numeric,0,
TotBankSecurities,    Numeric,0,
IneligibleInvWhenPurchased,    Numeric,0,
IneligibleInvAfterPurchase,    Numeric,0,
DebtSec5140e,    Numeric,0,
EquitySec5140e,    Numeric,0,
Loans5140e,    Numeric,0,
USDADebtSecsFarmerMac,    Numeric,0,
USDADebtSecsOther,    Numeric,0,
USDALoanPurch5140Amt,    Numeric,0,
USDALoanPurch5140AmtPurch,    Numeric,0,
USDALoanPurch5140Nbr,    Numeric,0,
USDALoanPurch5140NbrPurch,    Numeric,0,
USDAPremiumAdded,    Numeric,0,
USDAPremiumAmortized,    Numeric,0,
USDAUnamortizedPremium,    Numeric,0,
USDAAvgPricePaidPurch,    Numeric,0,
USDAProjAvgRORPurch,    Numeric,0,
SBADebtSecs,    Numeric,0,
SBALoanPurch5140,    Numeric,0,
SBAPremiumAdded,    Numeric,0,
SBAPremiumAmortized,    Numeric,0,
SBAUnamortizedPremium,    Numeric,0,
SBAAvgPricePaidPurch,    Numeric,0,
SBAProjAvgRORPurch,    Numeric,0,
