var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
100_name,    Numeric,0,
100_ACCR,    Numeric,0,
100_ACCRPDUE,    Numeric,0,
100_FRMREST,    Numeric,0,
100_NONCSH,    Numeric,0,
100_NONOTH,    Numeric,0,
100_TOTPERF,    Numeric,0,
105_name,    Numeric,0,
105_ACCR,    Numeric,0,
105_ACCRPDUE,    Numeric,0,
105_FRMREST,    Numeric,0,
105_NONCSH,    Numeric,0,
105_NONOTH,    Numeric,0,
105_TOTPERF,    Numeric,0,
110_name,    Numeric,0,
110_ACCR,    Numeric,0,
110_ACCRPDUE,    Numeric,0,
110_FRMREST,    Numeric,0,
110_NONCSH,    Numeric,0,
110_NONOTH,    Numeric,0,
110_TOTPERF,    Numeric,0,
115_name,    Numeric,0,
115_ACCR,    Numeric,0,
115_ACCRPDUE,    Numeric,0,
115_FRMREST,    Numeric,0,
115_NONCSH,    Numeric,0,
115_NONOTH,    Numeric,0,
115_TOTPERF,    Numeric,0,
120_name,    Numeric,0,
120_ACCR,    Numeric,0,
120_ACCRPDUE,    Numeric,0,
120_FRMREST,    Numeric,0,
120_NONCSH,    Numeric,0,
120_NONOTH,    Numeric,0,
120_TOTPERF,    Numeric,0,
125_name,    Numeric,0,
125_ACCR,    Numeric,0,
125_ACCRPDUE,    Numeric,0,
125_FRMREST,    Numeric,0,
125_NONCSH,    Numeric,0,
125_NONOTH,    Numeric,0,
125_TOTPERF,    Numeric,0,
130_name,    Numeric,0,
130_ACCR,    Numeric,0,
130_ACCRPDUE,    Numeric,0,
130_FRMREST,    Numeric,0,
130_NONCSH,    Numeric,0,
130_NONOTH,    Numeric,0,
130_TOTPERF,    Numeric,0,
135_name,    Numeric,0,
135_ACCR,    Numeric,0,
135_ACCRPDUE,    Numeric,0,
135_FRMREST,    Numeric,0,
135_NONCSH,    Numeric,0,
135_NONOTH,    Numeric,0,
135_TOTPERF,    Numeric,0,
140_name,    Numeric,0,
140_ACCR,    Numeric,0,
140_ACCRPDUE,    Numeric,0,
140_FRMREST,    Numeric,0,
140_NONCSH,    Numeric,0,
140_NONOTH,    Numeric,0,
140_TOTPERF,    Numeric,0,
145_name,    Numeric,0,
145_ACCR,    Numeric,0,
145_ACCRPDUE,    Numeric,0,
145_FRMREST,    Numeric,0,
145_NONCSH,    Numeric,0,
145_NONOTH,    Numeric,0,
145_TOTPERF,    Numeric,0,
150_name,    Numeric,0,
150_ACCR,    Numeric,0,
150_ACCRPDUE,    Numeric,0,
150_FRMREST,    Numeric,0,
150_NONCSH,    Numeric,0,
150_NONOTH,    Numeric,0,
150_TOTPERF,    Numeric,0,
152_name,    Numeric,0,
152_ACCR,    Numeric,0,
152_ACCRPDUE,    Numeric,0,
152_FRMREST,    Numeric,0,
152_NONCSH,    Numeric,0,
152_NONOTH,    Numeric,0,
152_TOTPERF,    Numeric,0,
155_name,    Numeric,0,
155_ACCR,    Numeric,0,
155_ACCRPDUE,    Numeric,0,
155_FRMREST,    Numeric,0,
155_NONCSH,    Numeric,0,
155_NONOTH,    Numeric,0,
155_TOTPERF,    Numeric,0,
