var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
ACNOCOMINC,    Numeric,0,Total accumulated other comprehensive
UNREALGAIN,    Numeric,0,Net unrealized losses (or gains) on securities available-for-sale that are not other-than temporarily impaired
OTHIMPSEC,    Numeric,0,Other-than-temporarily impaired available-for-sale securities
PENSIONADJ,    Numeric,0,Minimum pension liability adjustments
CASHHEDGEADJ,    Numeric,0,Cash flow hedge adjustments
OTHINCADJ,    Numeric,0,Other comprehensive income adjustments
