var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
10_name,    Numeric,0,
10_DerivRMLE1Yr,    Numeric,0,
10_DerivRMGT1YrLE5Yr,    Numeric,0,
10_DerivRMGT5Yr,    Numeric,0,
20_name,    Numeric,0,
20_DerivRMLE1Yr,    Numeric,0,
20_DerivRMGT1YrLE5Yr,    Numeric,0,
20_DerivRMGT5Yr,    Numeric,0,
30_name,    Numeric,0,
30_DerivRMLE1Yr,    Numeric,0,
30_DerivRMGT1YrLE5Yr,    Numeric,0,
30_DerivRMGT5Yr,    Numeric,0,
40_name,    Numeric,0,
40_DerivRMLE1Yr,    Numeric,0,
40_DerivRMGT1YrLE5Yr,    Numeric,0,
40_DerivRMGT5Yr,    Numeric,0,
50_name,    Numeric,0,
50_DerivRMLE1Yr,    Numeric,0,
50_DerivRMGT1YrLE5Yr,    Numeric,0,
50_DerivRMGT5Yr,    Numeric,0,
60_name,    Numeric,0,
60_DerivRMLE1Yr,    Numeric,0,
60_DerivRMGT1YrLE5Yr,    Numeric,0,
60_DerivRMGT5Yr,    Numeric,0,
70_name,    Numeric,0,
70_DerivRMLE1Yr,    Numeric,0,
70_DerivRMGT1YrLE5Yr,    Numeric,0,
70_DerivRMGT5Yr,    Numeric,0,
80_name,    Numeric,0,
80_DerivRMLE1Yr,    Numeric,0,
80_DerivRMGT1YrLE5Yr,    Numeric,0,
80_DerivRMGT5Yr,    Numeric,0,
90_name,    Numeric,0,
90_DerivRMLE1Yr,    Numeric,0,
90_DerivRMGT1YrLE5Yr,    Numeric,0,
90_DerivRMGT5Yr,    Numeric,0,
100_name,    Numeric,0,
100_DerivRMLE1Yr,    Numeric,0,
100_DerivRMGT1YrLE5Yr,    Numeric,0,
100_DerivRMGT5Yr,    Numeric,0,
110_name,    Numeric,0,
110_DerivRMLE1Yr,    Numeric,0,
110_DerivRMGT1YrLE5Yr,    Numeric,0,
110_DerivRMGT5Yr,    Numeric,0,
