var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
AvgDailyTotCCEPermCap,    Numeric,0,
AvgDailyPaidInCap,    Numeric,0,
AvgDailyURE,    Numeric,0,
AvgDailyPrefStkAT1,    Numeric,0,
AvgDailyTotPrefStkSubDebt,    Numeric,0,
AvgDailyOtherPerpPrefStk,    Numeric,0,
AvgDailyTotAprvdPermCap,    Numeric,0,
AvgDailyOtherAddPermCap,    Numeric,0,
AvgDailyTotAddPermCap,    Numeric,0,
AvgDailyPermCapBfrDed,    Numeric,0,
AvgDailyGoodwill,    Numeric,0,
AvgDailyDTACarryFwd,    Numeric,0,
AvgDailyAllocInvPermCap,    Numeric,0,
AvgDailyPurcInvFCSIPermCap,    Numeric,0,
AvgDailyTermStkSubDebtPO,    Numeric,0,
AvgDailyExcessPermCap,    Numeric,0,
AvgDailyOtherDedPermCap,    Numeric,0,
AvgDailyTotDedPermCap,    Numeric,0,
AVPRMCAP,    Numeric,0,
