var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
INTLNS,    Numeric,0,
INTNTRECOFCI,    Numeric,0,
INTNTRECO,    Numeric,0,
INTSCON,    Numeric,0,
INTMKTIN,    Numeric,0,
OINTINC,    Numeric,0,
TINTINC,    Numeric,0,
EXPSYSNTBDS,    Numeric,0,
EXPNTPAYOFCI,    Numeric,0,
EXPOINTBEARDT,    Numeric,0,
TOTINTEXP,    Numeric,0,
NETINTY,    Numeric,0,
PROVLNS,    Numeric,0,
PROVOTH,    Numeric,0,
PATDIV,    Numeric,0,
OPNONINTY,    Numeric,0,
ONONINTY,    Numeric,0,
TOTNONINTY,    Numeric,0,
NETGLASSETS,    Numeric,0,
TOTNONINTEXP,    Numeric,0,
BFORTAX,    Numeric,0,
TAXES,    Numeric,0,
BFOREXT,    Numeric,0,
EXTITEM,    Numeric,0,
NETY,    Numeric,0,
INTDLNASSOC,    Numeric,0,
INTNONACLN,    Numeric,0,
EXPNTDLNDIST,    Numeric,0,
UNREALINVSEC,    Numeric,0,
MPENLIABADJ,    Numeric,0,
OCOMPINCADJ,    Numeric,0,
NOCOMPINC,    Numeric,0,
COMPINC,    Numeric,0,
CASHFLOHEDGADJ,    Numeric,0,
NONTEMPIMPAIR,    Numeric,0,
PATPAID,    Numeric,0,
PATRECEIVED,    Numeric,0,
LossProvisionOBSExposure,    Numeric,0,
