var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
EXPFINASS,    Numeric,0,Financial Assistance Provided
EXPFACDT,    Numeric,0,Financial Assistance Corporation debt expense
EXPACQPROP,    Numeric,0,Other Property Owned Expense
MISCONONINTEXP,    Numeric,0,Miscellaneous Other Noninterest expense
ONONINTEXP,    Numeric,0,Total Other Noninterest Expense
