var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
10_CAP_CODE,    Numeric,0,
10_CapStkPurch,    Numeric,0,
10_CAPSTKALLOC,    Numeric,0,
10_PREFSTKPERP,    Numeric,0,
10_PREFSTKO,    Numeric,0,
10_PAIDIN,    Numeric,0,
10_ALSUR,    Numeric,0,
10_NQASSubj2Retire,    Numeric,0,
10_NQASNotSubj2Retire,    Numeric,0,
10_UNRETERN,    Numeric,0,
10_ACNOCOMINC,    Numeric,0,
10_TOTNW,    Numeric,0,
25_CAP_CODE,    Numeric,0,
25_CapStkPurch,    Numeric,0,
25_CAPSTKALLOC,    Numeric,0,
25_PREFSTKPERP,    Numeric,0,
25_PREFSTKO,    Numeric,0,
25_PAIDIN,    Numeric,0,
25_ALSUR,    Numeric,0,
25_NQASSubj2Retire,    Numeric,0,
25_NQASNotSubj2Retire,    Numeric,0,
25_UNRETERN,    Numeric,0,
25_ACNOCOMINC,    Numeric,0,
25_TOTNW,    Numeric,0,
35_CAP_CODE,    Numeric,0,
35_CapStkPurch,    Numeric,0,
35_CAPSTKALLOC,    Numeric,0,
35_PREFSTKPERP,    Numeric,0,
35_PREFSTKO,    Numeric,0,
35_PAIDIN,    Numeric,0,
35_ALSUR,    Numeric,0,
35_NQASSubj2Retire,    Numeric,0,
35_NQASNotSubj2Retire,    Numeric,0,
35_UNRETERN,    Numeric,0,
35_ACNOCOMINC,    Numeric,0,
35_TOTNW,    Numeric,0,
45_CAP_CODE,    Numeric,0,
45_CapStkPurch,    Numeric,0,
45_CAPSTKALLOC,    Numeric,0,
45_PREFSTKPERP,    Numeric,0,
45_PREFSTKO,    Numeric,0,
45_PAIDIN,    Numeric,0,
45_ALSUR,    Numeric,0,
45_NQASSubj2Retire,    Numeric,0,
45_NQASNotSubj2Retire,    Numeric,0,
45_UNRETERN,    Numeric,0,
