var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
ALLNALLOSSBBAL,    Numeric,0,
PROVLNS,    Numeric,0,
CHGOFFLNS,    Numeric,0,
LNSLOSSREV,    Numeric,0,
OTHADDSSUBS,    Numeric,0,
ALLNLOSS,    Numeric,0,
CHGOFFRE,    Numeric,0,
CHGOFFPROINT,    Numeric,0,
CHGOFFAGBUS,    Numeric,0,
CHGOFFCOMM,    Numeric,0,
CHGOFFENERG,    Numeric,0,
CHGOFFWATW,    Numeric,0,
CHGOFFRURRE,    Numeric,0,
CHGOFFINTNL,    Numeric,0,
CHGOFFLESRC,    Numeric,0,
RECRE,    Numeric,0,
RECPROINT,    Numeric,0,
RECAGBUS,    Numeric,0,
RECCOMM,    Numeric,0,
RECENERG,    Numeric,0,
RECWATW,    Numeric,0,
RECRURRE,    Numeric,0,
RECINTNL,    Numeric,0,
RECLESRC,    Numeric,0,
CHGOFFDLN,    Numeric,0,
CHGOFFLNOFI,    Numeric,0,
ALRE,    Numeric,0,
ALPROINT,    Numeric,0,
ALAGBUS,    Numeric,0,
ALCOMM,    Numeric,0,
ALENERG,    Numeric,0,
ALWATW,    Numeric,0,
ALRURRE,    Numeric,0,
ALINTNL,    Numeric,0,
ALLESRC,    Numeric,0,
ALDLN,    Numeric,0,
ALLNOFI,    Numeric,0,
ALTYPTOTAL,    Numeric,0,
CHGOFFOTH,    Numeric,0,
RECOTH,    Numeric,0,
ALOTH,    Numeric,0,
